2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [6] ./monero-wallet-rpc:std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)+0x1a6 [0xbade56]
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [7] ./monero-wallet-rpc:tools::wallet2::load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0xd97 [0x75c957]
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [8] ./monero-wallet-rpc:tools::wallet2::make_from_file(boost::program_options::variables_map const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0xf5 [0x75d535]
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [9] ./monero-wallet-rpc:main+0xfc3 [0x6a2ff3]
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [10] /lib/x86_64-linux-gnu/libc.so.6:__libc_start_main+0xf0 [0x7fa09e11e830]
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [11] ./monero-wallet-rpc:_start+0x29 [0x6abeb9]
2018-03-24 11:09:49.189	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	
2018-03-24 11:09:49.190	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:120	Exception: boost::archive::portable_binary_iarchive_exception
2018-03-24 11:09:49.190	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:121	Unwound call stack:
2018-03-24 11:09:49.219	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [1] ./monero-wallet-rpc:__wrap___cxa_throw+0x102 [0x87f762]
2018-03-24 11:09:49.219	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [2] ./monero-wallet-rpc() [0x7ae085]
